# Index Q0 Q1 Q2 Q3
498 -0.922126 -0.220527 0.279302 0.151794
499 -0.743388 -0.047390 0.380244 0.548217
500 -0.978431 -0.119873 0.139117 -0.094600
501 0.745966 0.275229 -0.023951 0.605978
502 -0.889365 -0.145087 0.298988 0.313985
503 0.264776 0.084062 0.052111 0.959225
504 0.702158 0.336180 -0.015763 0.627463
505 0.604994 0.269790 0.015025 0.748979
506 -0.068376 0.251741 0.336406 0.904866
507 -0.166116 0.152844 0.261205 0.938518
508 -0.583614 -0.119968 0.313550 0.739384
509 -0.378223 0.063148 0.084973 0.919641
510 0.781746 0.281323 -0.017451 0.556260
511 0.041738 0.042134 0.060339 0.996414
512 -0.980723 -0.105870 0.164234 0.001337
513 0.742692 0.160977 0.011369 0.649897
514 0.621520 0.083378 0.034863 0.778168
515 -0.974612 -0.034718 0.185100 0.121097
516 -0.968409 -0.182414 0.161203 -0.054056
517 -0.555038 0.041055 0.253765 0.791107
518 0.147087 0.265362 0.239532 0.922265
519 -0.457462 0.071217 0.221007 0.858378
520 -0.965662 -0.101353 0.147756 -0.188130
521 -0.726928 -0.068045 0.162101 0.663829
522 -0.421415 0.078546 0.236727 0.871895
523 -0.938117 -0.107697 0.247205 0.217319
524 -0.543738 0.003478 0.302236 0.782936
525 -0.947362 -0.156132 0.272633 0.061642
526 -0.971687 -0.038727 0.191671 0.132618
527 -0.200686 0.167620 0.240444 0.934781
528 -0.385977 0.089762 0.288933 0.871483
529 -0.845549 -0.099459 0.124746 0.509502
530 -0.561228 0.085622 0.259132 0.781372
531 -0.946763 -0.111218 0.192163 -0.233116
532 -0.857690 -0.142197 0.154287 0.469408
533 -0.655686 -0.006719 0.149699 0.740014
534 0.490390 0.045821 0.028852 0.869819
535 -0.004885 0.056105 0.119816 0.991197
536 0.613117 0.357863 -0.019737 0.704011
537 -0.439105 0.066505 0.268543 0.854780
538 -0.115487 0.154271 0.340810 0.920169
539 0.706087 0.265964 -0.038824 0.655131
540 -0.681629 -0.118948 0.309548 0.652237
541 -0.209840 0.232798 0.314134 0.896154
542 -0.926548 -0.259548 0.260677 0.078686
543 0.605666 0.074256 0.003618 0.792238
544 0.660432 0.221686 0.077990 0.713163
545 -0.066082 0.048686 0.129406 0.988189
546 -0.207729 0.225465 0.362451 0.880138
547 0.482701 0.291997 0.157543 0.810505
548 -0.945061 -0.154983 0.283050 0.052179
549 -0.861212 -0.054673 0.156487 0.480455
550 0.672129 0.210553 0.040218 0.708726
551 -0.620287 -0.028643 0.348570 0.702085
552 0.722992 0.165123 -0.008987 0.670773
553 -0.889376 -0.169680 0.291839 0.308299
554 -0.065331 0.144894 0.187185 0.969381
555 -0.465880 0.068573 0.356617 0.806894
556 -0.254285 0.163013 0.234989 0.923876
557 -0.349077 0.130240 0.309704 0.874795
558 -0.583134 0.034504 0.222509 0.780547
559 -0.242976 0.091708 0.258925 0.930328
560 -0.945950 -0.075746 0.231112 0.214543
561 -0.206081 0.115338 0.233040 0.943356
562 -0.192514 0.096696 0.207735 0.954167
563 0.717462 0.329060 -0.024042 0.613507
564 -0.143103 0.267606 0.229225 0.924859
565 0.260393 0.294025 0.262711 0.881322
566 -0.835401 -0.068226 0.376607 0.394484
567 -0.074039 0.146770 0.270514 0.948577
568 -0.897265 -0.265347 0.300194 0.185446
569 -0.930987 -0.134594 0.259039 0.219194
570 -0.137178 0.214197 0.231328 0.939036
571 0.629461 0.238366 0.081718 0.735039
572 0.240246 0.191607 0.175158 0.935354
573 -0.423727 0.143760 0.278418 0.849866
574 -0.550334 0.014757 0.214334 0.806831
575 0.857481 0.160682 -0.032867 0.487675
576 -0.614763 0.026695 0.061825 0.785832
577 0.699543 0.186763 0.036353 0.688794
578 0.789490 0.246172 0.110909 0.551184
579 -0.934623 -0.207226 0.267707 0.108950
580 0.006418 0.256008 0.222270 0.940752
581 -0.120249 0.075166 0.210072 0.967347
582 -0.871842 -0.031644 0.227613 0.432531
583 0.465610 0.208854 0.089539 0.855319
